macroarea	concept_id	token_idx	concept_name	token	language_id	concept_id_train	none	onehot	mi-onehot	unc-onehot	macroarea_count	p_value	n_permutations	n_instances
Africa	38	12.0	ear	8	895.6965909090909	38.0	11.07017280621962	10.93369824886322	0.13647455735640093	0.011650966365454103	4	0.00143	100000	33
Africa	38	13.0	ear	C	1718.2512605042016	38.0	6.716143451418195	6.634615951158753	0.08152750025944215	0.011002582639323858	4	0.01265	100000	97
Africa	38	14.0	ear	E	2814.903267339544	38.0	6.521092957816633	6.4577162440858515	0.06337671373078048	-0.007232525538851078	4	0.99987	100000	195
Africa	38	16.0	ear	L	3541.9383753501397	38.0	9.158986105638391	8.948790157542508	0.21019594809588263	0.018069606567557253	4	0.00384	100000	60
Africa	38	17.0	ear	N	2779.6478715728717	38.0	5.977446612018565	5.951040102959788	0.02640650905877785	0.003998098464264839	4	0.0	100000	243
Africa	38	18.0	ear	S	1325.68125	38.0	7.187657667199771	6.998363491892815	0.18929417530695597	0.024610163621811336	4	0.00127	100000	51
Africa	38	19.0	ear	T	2447.9423076923076	38.0	8.512580562249209	8.44462651839623	0.06795404385297729	0.005584966163320476	4	0.63332	100000	52
Africa	38	20.0	ear	X	6437.375	38.0	10.118703246116638	9.88233075539271	0.23637249072392783	0.022618518739065775	4	0.01002	100000	13
Africa	38	22.0	ear	a	2123.4356590036336	38.0	2.473212173779418	2.4840968997673563	-0.010884725987938243	-0.01566807410686045	4	1.0	100000	816
Africa	38	23.0	ear	b	3093.1019434936456	38.0	5.1070881177589165	5.088421226055333	0.018666891703583613	0.00253555081226633	4	0.0	100000	328
Africa	38	24.0	ear	c	3943.6285140562245	38.0	6.899659445167704	6.861855068200403	0.03780437696730122	0.0019508036085789896	4	0.99741	100000	100
Africa	38	25.0	ear	d	1226.7534305317324	38.0	5.671404777355641	5.4133601896060135	0.2580445877496279	0.045293047765601724	4	0.0	100000	187
Africa	38	26.0	ear	e	2298.786209040294	38.0	4.035631123961178	3.9372945469530793	0.09833657700809816	0.025490902773593754	4	0.0	100000	583
Africa	38	27.0	ear	f	5743.641447368421	38.0	7.512387317523621	7.232151184688535	0.28023613283508697	0.03700150813265616	4	0.0	100000	94
Africa	38	28.0	ear	g	2245.774369747899	38.0	5.894565125990982	5.722888466323457	0.1716766596675253	0.02906970216738053	4	0.0	100000	235
Africa	38	29.0	ear	h	2909.089283723523	38.0	5.6506380853296125	5.606749931489477	0.04388815384013459	0.008713019536782957	4	0.0	100000	165
Africa	38	30.0	ear	i	2217.019538951836	38.0	3.168971284213702	3.2347416649050507	-0.06577038069134884	-0.025272219055869734	4	1.0	100000	1490
Africa	38	31.0	ear	j	2778.573888888889	38.0	8.092049804793465	8.021501444180807	0.07054836061265732	0.0072736808034612795	4	0.00986	100000	64
Africa	38	32.0	ear	k	1797.021987970279	38.0	3.9615616468478887	3.754460435351195	0.2071012114966939	0.053060492320297664	4	0.0	100000	522
Africa	38	33.0	ear	l	3181.6615364762547	38.0	4.9266581310897095	4.794852650497021	0.1318054805926886	0.02707419466598621	4	0.0	100000	402
Africa	38	34.0	ear	m	3131.414192957885	38.0	3.9097543838244184	3.880242213494991	0.029512170329427562	0.005195534798748042	4	0.0	100000	358
Africa	38	35.0	ear	n	1824.6350016930257	38.0	3.9698276681036346	4.016665546482857	-0.046837878379222236	-0.017196772780640763	4	1.0	100000	613
Africa	38	36.0	ear	o	2280.234370873968	38.0	3.7306183226387297	3.6457643816856335	0.08485394095309666	0.017980462051889273	4	0.0	100000	1320
Africa	38	37.0	ear	p	2383.9441347270617	38.0	4.932539716414873	4.79709719177184	0.13544252464303289	0.027091876114559512	4	0.0	100000	65
Africa	38	38.0	ear	q	336.22222222222223	38.0	7.437358379364014	7.41002607345581	0.0273323059082031	0.0036750018641081	4	0.00089	100000	10
Africa	38	39.0	ear	r	4334.244806179308	38.0	4.583634284680615	4.3828495193338375	0.20078476534677797	0.04271079390918878	4	0.0	100000	342
Africa	38	40.0	ear	s	2523.3147619930437	38.0	4.994031450108716	4.834715279720564	0.15931617038815313	0.03040632933957151	4	0.0	100000	331
Africa	38	41.0	ear	t	1861.4776524421811	38.0	4.648195929177245	4.458934119022217	0.1892618101550278	0.04113169118311962	4	0.0	100000	1575
Africa	38	42.0	ear	u	2086.988607395521	38.0	3.5470624217485534	3.5259018067939785	0.021160614954574733	0.004382674636516556	4	0.0	100000	1419
Africa	38	43.0	ear	v	4278.11111111111	38.0	9.394657999277115	9.050587077935537	0.3440709213415782	0.03781329378062125	4	0.0	100000	33
