language_id	macroarea	item_id	concept_id	Latitude	Longitude	family_size	length	none	onehot	mi-onehot	unc-onehot	iso_code	p_value	n_permutations	n_concepts
6829	Pacific	209246.06896551725	46.93103448275862	-20.92	164.75	51032.0	4.620689655172414	3.7407617448275876	3.763776486206895	-0.0230147588724138	-0.0050232875310344816	mrk	0.885825	1000000	29
6830	Pacific	221630.0	50.31858407079646	-17.82999999999997	178.0	51032.0	6.707964601769912	3.788584435398232	3.7845436017699137	0.004040821399115045	-0.00015069192433628346	fij	0.290631	1000000	113
6831	Pacific	210989.76744186046	47.76744186046512	-9.75	149.82999999999996	51032.0	6.930232558139535	3.561876545348838	3.541604255813954	0.02027228797151163	0.005047733326162791	pwg	0.018797	1000000	86
6832	Pacific	215222.6875	48.125	-9.330000000000002	150.25	51032.0	4.6875	3.5660589	3.5124186437499993	0.053640230125	0.012663690512499997	viv	0.148133	1000000	16
6833	Pacific	218224.43243243243	49.24324324324324	-19.600000000000012	169.46	51032.0	5.864864864864865	3.6329595081081076	3.582938651351351	0.05002085021621622	0.012543945981081082	tnk	0.002202	1000000	37
6834	Pacific	214866.45945945947	48.2972972972973	-19.54999999999999	169.47000000000003	51032.0	5.675675675675675	3.6318191351351334	3.588923702702702	0.04289542689729729	0.011455139378378377	tnk	0.002033	1000000	37
6835	Pacific	222901.26470588235	50.029411764705884	-19.38	169.34000000000006	51032.0	5.205882352941177	3.611435141176471	3.6151057352941183	-0.0036706018235294086	-0.002125366682352941	tnl	0.556684	1000000	34
6836	Pacific	220008.52777777778	49.361111111111114	-19.470000000000013	169.23999999999987	51032.0	5.361111111111111	3.6773633944444453	3.6635943916666673	0.013768997105555552	0.001700913694444444	tnl	0.243213	1000000	36
6837	Pacific	222815.15789473685	50.39473684210526	-6.0	150.97999999999988	51032.0	4.7894736842105265	3.8971806236842115	3.88499569736842	0.012184946781578953	0.0016819384555263163	uvl	0.274298	1000000	38
6838	Pacific	217424.6857142857	48.857142857142854	-15.290000000000006	166.89999999999992	51032.0	5.914285714285715	3.623582651428571	3.6587229485714285	-0.03514028279142857	-0.008590275354285712	mnl	0.987907	1000000	35
6839	Pacific	215522.875	48.8125	-44.0	-176.53	51032.0	5.125	3.4076262093750014	3.400190225	0.007435992040624999	0.0018090821953124989	mri	0.286768	1000000	32
6840	Pacific	210544.55102040817	47.42857142857143	-5.669999999999996	176.11999999999995	51032.0	5.183673469387755	3.550743116326531	3.550319867346939	0.0004232708408163254	-0.0005487541377551025	tvl	0.485267	1000000	49
6841	Pacific	215195.02631578947	48.6578947368421	-8.92	-140.07999999999996	51032.0	4.973684210526316	3.4741363052631584	3.4881967210526312	-0.014060409578947365	-0.003921723893684209	mrq	0.856083	1000000	38
6842	Pacific	220886.60606060605	49.57575757575758	-19.320000000000004	169.31000000000006	51032.0	5.606060606060606	4.01490843939394	4.029784596969697	-0.014876170233333333	-0.0029203405381818177	tnn	0.725784	1000000	33
6843	Pacific	206976.09677419355	46.774193548387096	-9.0	-158.0	51032.0	4.774193548387097	3.3431795193548397	3.354520512903226	-0.011340971680645164	-0.003918064329032257	pnh	0.821392	1000000	31
6844	Pacific	220821.85714285713	49.857142857142854	-27.0	-109.0	51032.0	5.183673469387755	3.374365220408163	3.3840777285714294	-0.00971251596326531	-0.0037186487153061222	rap	0.823916	1000000	49
6845	Pacific	201126.0625	45.375	-8.330000000000005	162.75	51032.0	4.90625	3.246247653125001	3.2517807375000003	-0.005533061712500001	-0.0018907687328125003	sky	0.668756	1000000	32
6846	Pacific	203645.15555555557	45.888888888888886	-17.66999999999999	168.25	51032.0	5.8	3.8325502177777775	3.8039798000000005	0.02857041896533333	0.006947831719555556	erk	0.012453	1000000	45
6847	Pacific	200356.33333333334	44.90909090909091	-43.0	173.0	51032.0	5.303030303030303	3.3588058333333337	3.3715103030303024	-0.012704459406060605	-0.003697498834848485	mri	0.854021	1000000	33
6848	Pacific	213011.33333333334	47.90909090909091	-19.63	169.36999999999992	51032.0	5.848484848484849	3.601816524242424	3.5796499575757577	0.022166570736363633	0.005256394181818181	nwi	0.079709	1000000	33
6849	Pacific	215999.46875	48.46875	-19.54	169.39999999999995	51032.0	5.9375	3.791489634375	3.7380214687499995	0.053468183140625	0.01389503224375	nwi	0.003485	1000000	32
6850	Pacific	200327.73913043478	44.78260869565217	-3.0799999999999987	142.42000000000004	51032.0	6.217391304347826	3.936362404347826	3.9238958086956517	0.012466575860869567	0.0035833324086956522	tmq	0.094485	1000000	23
6851	Pacific	189681.32432432432	42.54054054054054	-10.22000000000001	166.22000000000003	51032.0	5.216216216216216	3.425371497297298	3.4404371297297294	-0.015065611854054051	-0.005063099912162163	piv	0.887634	1000000	37
6852	Pacific	206145.59375	46.34375	-17.0	177.3000000000001	51032.0	5.0	3.690516600000001	3.7075845312499998	-0.017067924257500006	-0.006518762789999999	wyy	0.799425	1000000	32
6853	Pacific	212767.85714285713	47.714285714285715	-20.32999999999999	166.5	51032.0	5.0	3.4572672999999994	3.480861819047618	-0.023594493133333335	-0.0061198246357142844	uve	0.872182	1000000	21
6854	Pacific	214862.55555555556	48.27777777777778	-19.509999999999994	169.4499999999999	51032.0	5.583333333333333	3.8392004583333343	3.8181295861111115	0.02107083793611112	0.00409860793888889	tnp	0.144597	1000000	36
6855	Pacific	212594.3142857143	47.8	-19.480000000000008	169.43000000000006	51032.0	5.6571428571428575	3.871714848571429	3.8370358485714284	0.03467899063999999	0.008149722643999999	tnp	0.043002	1000000	35
6856	Pacific	217434.1794871795	49.07692307692308	-6.579999999999996	147.78000000000014	51032.0	4.846153846153846	3.649242120512821	3.649805639743589	-0.0005635022794871773	-0.0007815521016666671	jae	0.520565	1000000	78
6857	Pacific	228022.35555555555	51.75555555555555	-5.419999999999995	119.57999999999994	51032.0	5.711111111111111	3.660934935555555	3.6266290666666667	0.03430586878666668	0.008939808566666665	mak	0.004601	1000000	45
6858	Pacific	212245.55555555556	48.08888888888889	-2.3299999999999987	119.0	51032.0	5.4222222222222225	3.49323424	3.4643932733333336	0.028840955104444444	0.007681061127111111	mqx	0.007683	1000000	45
6859	Pacific	217543.27027027027	48.83783783783784	-3.3299999999999987	138.17000000000004	1119.0	5.297297297297297	3.648738113513514	3.6485348729729723	0.00020324848648648033	-0.00014103744864864688	tds	0.496382	1000000	37
6860	Pacific	207519.47222222222	46.666666666666664	-2.8299999999999987	138.57999999999996	1119.0	5.638888888888889	3.706108769444444	3.6934629944444453	0.012645768236111108	0.0027585717111111106	pas	0.228864	1000000	36
6861	Pacific	215255.8	48.42857142857143	-2.9200000000000013	138.25	1119.0	5.371428571428571	4.087248848571429	4.046442471428572	0.040806409231428566	0.010669201309142857	tty	0.004528	1000000	35
6862	Pacific	189149.54545454544	42.54545454545455	-3.6700000000000013	140.92000000000004	419.0	5.318181818181818	3.705942322727273	3.7020606090909083	0.0038817044245454593	0.0024602306133181787	enr	0.439189	1000000	22
6863	Pacific	182477.16666666666	40.833333333333336	-3.5	143.5	1144.0	5.125	3.980663904166667	3.964026383333334	0.01663751453333333	0.003691635933333333	bzf	0.227971	1000000	24
6864	Pacific	179924.08333333334	40.25	-5.080000000000003	142.57999999999996	3053.0	5.138888888888889	3.6713555777777773	3.669161563888888	0.0021940204666666668	0.000563882288055555	ham	0.471361	1000000	36
6865	Pacific	209125.11764705883	46.73529411764706	-2.5799999999999987	141.17000000000004	921.0	4.470588235294118	3.6286062029411754	3.6043240294117656	0.024282167014705886	0.006297084316176472	wut	0.223205	1000000	34
6866	Pacific	215773.4871794872	48.53846153846154	-8.430000000000005	124.55000000000008	2110.0	5.17948717948718	3.683195307692307	3.672183741025641	0.011011545548717949	0.0018666858615384609	kvd	0.2358	1000000	39
6867	Pacific	202938.84848484848	45.18181818181818	-6.169999999999996	145.5	17803.0	6.878787878787879	3.6702681151515155	3.641913278787879	0.028354832557575756	0.0069169126530303025	bef	0.011231	1000000	33
6868	Pacific	227403.55555555556	51.370370370370374	-5.669999999999999	147.82999999999996	17803.0	4.925925925925926	3.81672138888889	3.805590951851851	0.01113041233333333	0.0030925086185185184	kqb	0.305065	1000000	27
6869	Pacific	233650.78125	52.96875	-6.080000000000004	146.25	17803.0	5.40625	3.6937976624999993	3.6455485531250003	0.04824910341875	0.01290271858125	ufi	0.010598	1000000	32
6870	Pacific	222686.84782608695	50.08695652173913	-7.75	146.92000000000004	661.0	7.260869565217392	3.81336702173913	3.8096163434782615	0.0037506769752173935	0.0003212550295652172	wer	0.346885	1000000	46
6871	Pacific	218744.16666666666	49.111111111111114	-5.580000000000004	145.42000000000004	17803.0	5.25	4.07537625	4.0195419416666684	0.05583430666666668	0.014572740244444445	dnr	0.004733	1000000	36
6872	Pacific	224697.94736842104	50.21052631578947	-4.7299999999999995	145.59000000000006	17803.0	6.473684210526316	3.8038581894736834	3.7672224447368414	0.036635757067368414	0.009177621628157894	mkr	0.026841	1000000	38
6873	Pacific	226901.62162162163	50.972972972972975	-5.75	145.5	17803.0	5.324324324324325	3.733224462162163	3.72626421891892	0.006960250592972972	0.0022359924271891907	ssj	0.404081	1000000	37
6874	Pacific	196328.33333333334	43.76190476190476	-1.5	132.0	107.0	4.714285714285714	3.622913347619047	3.597118628571429	0.02579471071428571	0.006148986738095237	kps	0.159184	1000000	21
6875	Pacific	228816.35897435897	51.48717948717949	-12.25	134.42000000000004	145.0	6.666666666666667	3.9685045435897437	3.9603639333333334	0.008140631034615386	0.0019198615774358978	gge	0.318772	1000000	39
6876	Pacific	177616.15	39.4	-27.5	139.0	5710.0	6.55	3.599446485	3.6174596500000007	-0.018013191065	-0.0035198491900000003	nmv	0.827836	1000000	20
6877	Pacific	195688.15789473685	44.05263157894737	-31.75	134.75	5710.0	5.947368421052632	3.527917426315789	3.494451747368421	0.033465673889473684	0.009749507133157895	nnv	0.039976	1000000	19
6878	Pacific	218355.90322580645	48.516129032258064	-36.080000000000005	146.90999999999994	5710.0	5.935483870967742	3.3960285258064515	3.411348529032258	-0.015319993193548384	-0.005148015790322582	pmd	0.860926	1000000	31
6879	Pacific	197088.31818181818	44.09090909090909	-37.07000000000002	149.90000000000006	5710.0	7.136363636363637	3.6162828181818174	3.605479313636363	0.010803504063636366	0.0008619967604545452		0.303969	1000000	22
6880	Pacific	219346.33333333334	49.166666666666664	-21.5	126.0	5710.0	7.25	3.8985852083333334	3.891901933333333	0.006683274727500005	0.0011504509506250003	mpj	0.33253	1000000	48
6881	Americas	213695.06666666668	47.733333333333334	63.5	-170.5	783.0	6.2	4.302389253333334	4.297114357777777	0.005274904968888888	0.0012909193288888894	ess	0.401298	1000000	45
6882	Americas	202357.41379310345	45.275862068965516	62.96000000000002	-141.36999999999992	1388.0	6.206896551724138	4.464137162068966	4.445008403448277	0.019128758689655172	0.004432488265517242	tau	0.123072	1000000	29
6883	Americas	206508.61538461538	46.282051282051285	45.0	-67.0	1088.0	7.205128205128205	4.440703033333333	4.478858407692308	-0.038155359717948714	-0.008435867974358977	pqm	0.949356	1000000	39
6884	Americas	231798.3103448276	52.51724137931034	40.0	-83.0	1088.0	7.482758620689655	4.485473810344827	4.498073762068967	-0.012599952793103449	-0.005378785403448275	sjw	0.69319	1000000	29
6885	Americas	222215.23636363636	50.28181818181818	34.82999999999995	-85.17000000000006	591.0	6.418181818181818	3.8226106463636356	3.8015572663636377	0.02105338844181817	0.004860361134545454	cku	0.00923	1000000	110
6886	Americas	207021.0	46.189189189189186	50.25	-103.42000000000004	566.0	5.783783783783784	4.063889732432433	4.038943210810811	0.024946541370270275	0.005702654946216217	asb	0.102443	1000000	37
6887	Americas	212125.13888888888	47.5	34.97000000000002	-107.52	108.0	6.916666666666667	3.8590347999999994	3.8264685277777772	0.03256625576111112	0.007357136984722222	kjq	0.032789	1000000	36
6888	Americas	209685.24324324325	46.945945945945944	35.42	-106.67000000000004	108.0	7.162162162162162	3.724283397297297	3.7122237324324328	0.012059662472972974	0.0020994774351351347	kee	0.218509	1000000	37
6889	Americas	211476.05714285714	47.371428571428574	35.51999999999999	-106.44999999999993	108.0	6.857142857142857	3.6935791800000004	3.676867431428571	0.016711739429714285	0.0029874534042857136	kee	0.162397	1000000	35
6890	Americas	220270.0	49.31578947368421	29.0	-112.0	38.0	4.394736842105263	4.241614492105263	4.273967510526314	-0.032353036881578943	-0.008393909026315791	sei	0.89811	1000000	38
6891	Americas	209525.20588235295	46.61764705882353	20.080000000000002	-100.07999999999996	5136.0	4.823529411764706	3.939494285294119	3.9568485205882364	-0.017354193499999997	-0.009098146835294117	otq	0.696131	1000000	34
6892	Americas	197173.92	44.12	21.92000000000001	-99.40000000000003	5136.0	6.08	4.345876147999999	4.342563564000001	0.0033125876919999995	-0.0005737526555999993	pmq	0.449794	1000000	25
6893	Americas	212640.9090909091	48.0	18.170000000000027	-92.57999999999994	7497.0	5.327272727272727	3.9246571418181806	3.9099316881818202	0.014725450794545458	0.00282546287809091	chf	0.092425	1000000	110
6894	Americas	223794.5	49.94444444444444	15.300000000000004	-92.13000000000007	7497.0	5.194444444444445	4.1140612388888895	4.10800211388889	0.006059123680833332	0.0013372328240000002	mam	0.388631	1000000	36
6895	Americas	217103.70833333334	48.84166666666667	16.349999999999962	-92.5	7497.0	5.341666666666667	3.868696946666669	3.864865734166668	0.0038312120236666664	-0.00021679797408333222	tzo	0.385518	1000000	120
6896	Americas	200605.3448275862	44.13793103448276	2.6700000000000013	-76.0	144.0	4.758620689655173	3.8779167896551727	3.957624386206896	-0.07970758153793102	-0.018350244935862063	pbb	0.80404	1000000	29
6897	Americas	220388.15151515152	49.73737373737374	0.6700000000000013	-79.0	414.0	5.595959595959596	3.573894559595958	3.586597328282829	-0.012702770994646463	-0.005036631276848484	cbi	0.799592	1000000	99
6898	Americas	213525.96694214875	48.074380165289256	-2.169999999999995	-72.32999999999994	321.0	8.090909090909092	3.9582962801652894	3.9499541553718993	0.008342118622727268	0.0009828165798347105	boa	0.208223	1000000	121
6899	Americas	228153.01754385966	50.771929824561404	-16.580000000000013	-65.25	101.0	6.0701754385964914	3.7171390964912265	3.7273035614035095	-0.010164465950877194	-0.0028881841508771925	yuz	0.765718	1000000	57
6900	Americas	210004.66666666666	46.54385964912281	-7.0	-74.0	1432.0	5.0701754385964914	3.693839703508771	3.6926936894736846	0.0011460106508771927	-2.6350425789472487e-05	kaq	0.481427	1000000	57
6901	Americas	216712.34	48.3	-12.169999999999998	-66.75	1432.0	5.48	3.6221989960000003	3.5762811879999994	0.045917825326	0.011931826698000001	cao	0.000693	1000000	50
6902	Americas	199632.19047619047	44.19047619047619	-7.830000000000002	-74.5	1432.0	5.714285714285714	3.562553204761905	3.583792880952382	-0.021239677847619046	-0.005508833026666665	isc	0.719582	1000000	21
