	concept_id	concept_name	language_id	length	none	onehot	mi-onehot	unc-onehot	p_value	n_permutations	alphas	significant-0.01	significant-0.05	significant-0.10
51	51	heart	4401.876024360356	6.412660019698374	4.07759863429496	4.057334445736659	0.0202641859699253	0.0040559131958302	0.00024	100000	0.01, 0.05, 0.1	True	True	True
27	27	skin	4091.7570638502343	5.663768595281306	3.829963884070082	3.816538466420952	0.0134254131579308	0.0035768436765512	0.00046	100000	0.01, 0.05, 0.1	True	True	True
82	82	ash	4196.456972647605	6.3383298945073605	4.072622786482732	4.05288581401368	0.0197369671502647	0.0032536075610242	0.00082	100000	0.01, 0.05, 0.1	True	True	True
14	14	small	4589.166174535514	6.721976454009067	4.024092056255843	3.999613467630492	0.0244785941619132	0.004480460296181	0.00103	100000	0.01, 0.05, 0.1	True	True	True
86	86	red	4243.797741473232	6.371682511263183	3.993840400129825	3.974007261288421	0.0198331400481023	0.0036635865229945	0.00207	100000	0.01, 0.05, 0.1	True	True	True
91	91	night	4042.2332804021007	5.916873675642932	3.9062428740881145	3.894245422217344	0.0119974499806759	0.0019954430263852	0.00294	100000	0.01, 0.05, 0.1	False	True	True
95	95	new	3971.580959000592	5.992684447112747	3.884214781916532	3.874542339154531	0.0096724499565902	0.001260968014142	0.00424	100000	0.01, 0.05, 0.1	False	True	True
13	13	long	4219.134025138547	6.149380299531211	4.022018890185665	4.000733527575595	0.0212853607647679	0.0031630381917577	0.00507	100000	0.01, 0.05, 0.1	False	True	True
40	40	nose	4132.748942171891	5.792287436760264	3.8840883500394696	3.8723492263467314	0.0117391211428714	0.002103947357368	0.00597	100000	0.01, 0.05, 0.1	False	True	True
53	53	drink	4046.527508766541	5.074682587767929	3.875577396123665	3.8654875338788335	0.0100898617073276	0.0013712574224354	0.00644	100000	0.01, 0.05, 0.1	False	True	True
4	4	that	4102.916357801704	4.815748367632688	3.7009607769299113	3.678666539701168	0.022294229545897	0.0054795563525062	0.00795	100000	0.01, 0.05, 0.1	False	True	True
80	80	smoke	4374.126604184268	6.144046431883121	3.920375070180468	3.905840403828312	0.0145346657027839	0.0027127927815706	0.01216	100000	0.01, 0.05, 0.1	False	True	True
50	50	breast	4105.479006328291	5.577177677218484	3.8361072576284494	3.825694828472861	0.0104124292313023	0.0034096145184881	0.01533	100000	0.01, 0.05, 0.1	False	True	True
99	99	name	4020.680371595903	5.160204030164286	3.7911825291466417	3.781805359012613	0.0093771731198007	0.0026484794736413	0.01565	100000	0.01, 0.05, 0.1	False	True	True
49	49	neck	4550.907581970876	6.071883598937852	3.9245747984338353	3.910479209120597	0.0140955913033556	0.0023672255581372	0.01698	100000	0.01, 0.05, 0.1	False	True	True
34	34	tail	4246.755439511911	5.79823673093744	3.91384775331754	3.9003741821925777	0.013473564575345	0.00244043959111	0.02356	100000	0.01, 0.05, 0.1	False	False	True
