concept_name	token	concept_id	token_idx	language_id	concept_id_train	none	onehot	mi-onehot	unc-onehot	macroarea_count	p_value	n_permutations	n_instances	significant-0.01	significant-0.05	significant-0.10
kill	q	61.0	38.0	5161.566964285714	61.0	8.109125023796445	7.908211985514277	0.20091303828216728	0.02343634663436907	4.0	0.26607749999999997	100000.0	29	False	False	False
kill	r	61.0	39.0	4689.857435064935	61.0	4.73182342924683	4.662845401712525	0.06897802753430417	0.011947352954016124	4.0	0.14545750000000002	100000.0	174	False	False	False
kill	s	61.0	40.0	4726.976270777834	61.0	5.394638923054869	5.361999530230164	0.03263939282470487	0.007743879350771751	4.0	0.08094	100000.0	173	False	False	False
kill	t	61.0	41.0	4359.996742131614	61.0	4.56026086486386	4.494321756613606	0.0659391082502537	0.0149182333117182	4.0	0.21700999999999998	100000.0	293	False	False	False
kill	u	61.0	42.0	4888.544208306872	61.0	3.6928140516241292	3.7250854754292098	-0.032271423805080426	-0.014944980021124099	4.0	0.8648075	100000.0	574	False	False	False
kill	v	61.0	43.0	4148.389508928572	61.0	8.527708666026593	8.362653443341454	0.16505522268513834	0.018831668006510177	4.0	0.056855	100000.0	51	False	False	False
kill	w	61.0	44.0	4685.401644512021	61.0	5.302297872658232	5.2585705905410585	0.043727282117174325	0.006928391079237	4.0	0.4814225	100000.0	275	False	False	False
kill	x	61.0	45.0	4587.200653594771	61.0	6.986853220338136	6.84172039166385	0.14513282867428526	0.018703498493117074	4.0	0.1643425	100000.0	69	False	False	False
kill	y	61.0	46.0	4354.919122187336	61.0	5.715741262599637	5.6519709200713155	0.06377034252832092	0.011252087049990575	4.0	0.2498425	100000.0	190	False	False	False
kill	z	61.0	47.0	4782.713020833333	61.0	8.7050308290869	8.558982427542407	0.14604840154449142	0.018386533777050598	4.0	0.22240500000000002	100000.0	36	False	False	False
kill	~	61.0	48.0	4201.135795985061	61.0	1.0564558373513717	0.9895312735886292	0.06692456376274247	-0.00504813204339144	4.0	0.29179750000000004	100000.0	92	False	False	False
knee	 	46.0	3.0	4642.140788689133	46.0	8.052809560347065	7.972069450949812	0.08074010939725365	0.009338212400972799	4.0	0.5987325	100000.0	939	False	False	False
knee	$	46.0	6.0	4031.4153273809525	46.0	7.734448251412028	8.047955090233257	-0.31350683882122954	-0.1543984159944728	4.0	0.6949974999999999	100000.0	80	False	False	False
knee	*	46.0	7.0	4429.675031486545	46.0	6.015536658428841	5.996269450671489	0.0192672077573521	-0.009167334252780174	4.0	0.743685	100000.0	299	False	False	False
knee	3	46.0	8.0	4348.72259486515	46.0	5.165907015676931	5.113088793302572	0.0528182223743576	-0.0005375298309461751	4.0	0.46638749999999995	100000.0	945	False	False	False
knee	5	46.0	10.0	4146.34887742976	46.0	7.812609719800813	7.70865149823646	0.10395822156435378	0.005564946566409426	4.0	0.47503249999999997	100000.0	93	False	False	False
knee	7	46.0	11.0	4144.3185492147595	46.0	6.6659458184865965	6.574722539324163	0.09122327916243406	0.010317303941544224	4.0	0.03083	100000.0	439	False	False	False
knee	8	46.0	12.0	3652.3041666666663	46.0	9.97168821209953	9.68837441508732	0.283313797012208	0.0276026259793748	4.0	0.20582	100000.0	38	False	False	False
knee	C	46.0	13.0	4472.736071836984	46.0	6.92648999890869	6.7699795003064285	0.15651049860226118	0.0212718888627499	4.0	3.5000000000000004e-05	100000.0	383	True	True	True
knee	E	46.0	14.0	4333.97706575646	46.0	5.844522944612643	6.001123781998675	-0.1566008373860339	-0.0421499784647454	4.0	0.9598725	100000.0	425	False	False	False
knee	EOW	46.0	2.0	4121.8522143971	46.0	1.081711116342721	1.330003352287432	-0.248292235944711	-0.2450642229670036	4.0	1.0	100000.0	7467	False	False	False
