,ID,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent,Family
1985,MBOSHI_OLEE,Africa,-1.33,15.58,NA,mdw,NA,Atlantic-Congo
1986,MBOSI,Africa,-1.2,15.5,NA,mdw,NA,Atlantic-Congo
1987,MBOUA_BOMITABA,Africa,1.67,17.5,NA,zmx,NA,Atlantic-Congo
1988,MBOWE,Africa,-15.5,23.58,NA,lyn,NA,Atlantic-Congo
1989,MBU,Africa,6.4,10.05,NA,muc,NA,Atlantic-Congo
1990,MBUGWE,Africa,-3.75,35.83,NA,mgz,NA,Atlantic-Congo
1991,MBUKUSHU,Africa,-18,22.83,NA,mhw,NA,Atlantic-Congo
1992,MBULA_NIGERIA,Africa,9.58,12.25,NA,mbu,NA,Atlantic-Congo
1993,MBULE,Africa,4.38,11,NA,mlb,NA,Atlantic-Congo
1994,MBUMBUU,Africa,-3,18,NA,skt,NA,Atlantic-Congo
1995,MBUMI,Africa,-15.5,23.58,NA,lyn,NA,Atlantic-Congo
1996,MBUNDA,Africa,-14.5,22.33,NA,mck,NA,Atlantic-Congo
1997,MBUNDU,Africa,-8.9,15.1,NA,kmb,NA,Atlantic-Congo
1998,MBUNDU_2,Africa,-8.4,15.2,NA,kmb,NA,Atlantic-Congo
1999,MBUNGA,Africa,-8.2,36.6,NA,mgy,NA,Atlantic-Congo
2000,MBUUN,Africa,-5.17,19.33,NA,zmp,NA,Atlantic-Congo
2001,MEDUMBA,Africa,5.08,10.5,NA,byv,NA,Atlantic-Congo
2002,MENDANKWE_NKWEN,Africa,6,10.23,NA,mfd,NA,Atlantic-Congo
2003,MENGAKA,Africa,5.75,10.34,NA,xmg,NA,Atlantic-Congo
2004,MENGISA,Africa,4.45,11.4,NA,mct,NA,Atlantic-Congo
2005,MERU,Africa,0.25,37.65,NA,mer,NA,Atlantic-Congo
2006,MERU_2,Africa,0.25,37.65,NA,mer,NA,Atlantic-Congo
2007,MERU_3,Africa,0.25,37.65,NA,mer,NA,Atlantic-Congo
2008,MFINU,Africa,-4.25,16.25,NA,zmf,NA,Atlantic-Congo
2009,MFINU_KIFULUNGA,Africa,-4.25,16.25,NA,zmf,NA,Atlantic-Congo
2010,MFUMTE,Africa,6.67,11,NA,nfu,NA,Atlantic-Congo
2011,MIENGE,Africa,5.33,9.5,NA,bsi,NA,Atlantic-Congo
2012,MISSONG,Africa,6.58,10.25,NA,mij,NA,Atlantic-Congo
2013,MITUKU,Africa,-1.67,25.5,NA,zmq,NA,Atlantic-Congo
2014,MMALA,Africa,4.55,11.1,NA,mmu,NA,Atlantic-Congo
2015,MMEN,Africa,6.33,10.25,NA,bfm,NA,Atlantic-Congo
2016,MMEN_2,Africa,6.46,10.27,NA,bfm,NA,Atlantic-Congo
2017,MMEN_3,Africa,6.46,10.27,NA,bfm,NA,Atlantic-Congo
2018,MMEN_4,Africa,6.46,10.27,NA,bfm,NA,Atlantic-Congo
2019,MOCHI,Africa,-3.1,36.9,NA,old,NA,Atlantic-Congo
2020,MODELE,Africa,6.33,10,NA,bby,NA,Atlantic-Congo
